Collector (PI),Specimen_ID,Genus,Species,order,sex,mass (g),date,Country,Departament,Municipio,Locality,Longitude,Latitude,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,6.0,Sturnella,militaris,Passeriformes,U,51.0,20150326,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"E1,J7",0.0,0.0,1.0,0.0,0.0
GAL,11.0,Piaya,cayana,Cuculiformes,U,95.0,20130310,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,C5",16.0,0.0,0.0,0.0,0.0
GAL,19.0,Dendrocincla,fuliginosa,Passeriformes,U,33.0,2014055,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"E1,J3",0.0,>5,0.0,0.0,0.0
GAL,20.0,Ramphocelus,carbo,Passeriformes,U,30.0,2014089,Colombia,Meta,Villavicencio,Villavicencio,,,400-440,YES,powder,Universidad Icesi,"P2,A4",4.0,0.0,0.0,0.0,0.0
GAL,20.0,Ramphocelus,carbo,Passeriformes,U,51.0,20150326,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,G8",4.0,0.0,0.0,0.0,0.0
GAL,21.0,Dendrocincla,fuliginosa,Passeriformes,U,43.5,2014086,Colombia,Meta,Villavicencio,Villavicencio,,,400-440,YES,powder,Universidad Icesi,"E1,H2",0.0,>>10,0.0,0.0,0.0
GAL,21.0,Ramphocelus,carbo,Passeriformes,U,,2014089,Colombia,Meta,Villavicencio,Villavicencio,,,400-440,YES,powder,Universidad Icesi,"E1,H3",0.0,<5,0.0,0.0,0.0
GAL,21.0,Elaenia,flavogaster,Passeriformes,U,24.0,20140520,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,G4",2.0,0.0,0.0,0.0,0.0
GAL,23.0,Calidris,minuta,Charadriiformes,U,21.5,20150326,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,G7",10.0,0.0,0.0,0.0,0.0
GAL,24.0,Ramphocelus,carbo,Passeriformes,U,,20150112,Colombia,Guaviare,San Jose del Guaviare,San Jose del Guaviare,,,,YES,powder,Universidad Icesi,"P2,A2",8.0,2.0,0.0,0.0,0.0
GAL,28.0,Leptopogon,amaurocephalus,Passeriformes,U,12.25,2013123,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,C9",27.0,0.0,0.0,0.0,0.0
GAL,30.0,Tangara,cayana,Passeriformes,U,18.0,2013124,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,C8",1.0,0.0,0.0,0.0,0.0
GAL,35.0,Saltator,coerulescens,Passeriformes,U,,20140520,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,F10;P2,B11",32.0,0.0,0.0,0.0,0.0
GAL,37.0,Tangara,cayana,Passeriformes,U,18.0,20140521,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,I10",4.0,0.0,0.0,0.0,0.0
GAL,38.0,Tangara,cayana,Passeriformes,U,17.0,20140521,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,J2",4.0,0.0,0.0,0.0,0.0
GAL,44.0,Tangara,cayana,Passeriformes,U,24.0,2014087,Colombia,Meta,Villavicencio,Villavicencio,,,400-440,YES,powder,Universidad Icesi,"P2,A1",35.0,0.0,0.0,0.0,0.0
GAL,45.0,Turdus,leucomelas,Passeriformes,U,66.0,2014086,Colombia,Meta,Villavicencio,Villavicencio,,,400-440,YES,powder,Universidad Icesi,"P2,A6;E1,H5",7.0,>>10,0.0,0.0,0.0
GAL,46.0,Tangara,cayana,Passeriformes,U,,2015036,Colombia,Cundinamarca,Medina,Medina,,,584.0,YES,powder,Universidad Icesi,"P2,A3",6.0,0.0,0.0,0.0,0.0
GAL,47.0,Phacellodomus,rufifrons,Passeriformes,U,31.5,2015039,Colombia,Meta,Villavicencio,Villavicencio,,,400-440,YES,powder,Universidad Icesi,"E1,H1",0.0,>>10,0.0,0.0,0.0
GAL,50.0,Cacicus,cela,Passeriformes,U,35.0,20130311,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,200-225,YES,powder,Universidad Icesi,"P2,D7",37.0,0.0,0.0,0.0,0.0
GAL,50.0,Thraupis,palmarum,Passeriformes,NA,40.0,20150325,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,141.0,YES,powder,Universidad Icesi,"P2,G10",1.0,0.0,0.0,0.0,0.0
